KEY,NOTES,ENGLISH,SPANISH
MECHANISM.STONE.GEAR.NOUN,,Gear assembly,Sistema de engranajes
MECHANISM.STONE.GEAR.TOOLTIP,,This contraption links up mechanical power in all 4 directions.,Este artilugio transfiere energía mecánica en las 4 direcciones.
MECHANISM.WOODEN.SHAFT.NOUN,,Shaft,Eje
MECHANISM.WOODEN.SHAFT.TOOLTIP,,A wooden shaft links mechanical power in 2 directions.,Un eje de madera transfiere energía mecánica en 2 direcciones.

MENU.CONTINUE_GAME,,Continue,Continuar partida
MENU.CREDITS,,Credits,Créditos
MENU.JOIN_DISCORD,,Join Discord,Únete a Discord
MENU.LINK_TWITCH_ACCOUNT,,Link Twitch,Emparejar Twitch
MENU.LOAD_GAME,,Load,Cargar partida
MENU.MODS,,Mods,Modos de Juego
MENU.NEW_GAME,,New Game,Comenzar partida nueva
MENU.OPTIONS,,Options,Opciones
MENU.QUIT,,Quit,Salir
MENU.SAVE_AND_QUIT,,Save & Quit,Guardar y salir
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Alternar pantalla completa

METAL.BRONZE.ADJECTIVE,,Bronze,de bronce
METAL.BRONZE.NOUN,,Bronze,Bronce
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented),El bronce es una aleación de cobre y estaño. Es más duro y mucho más duradero que el cobre solo. (Las aleaciones aún no se han implementado)
METAL.COPPER.ADJECTIVE,,Copper,de cobre
METAL.COPPER.NOUN,,Copper,Cobre
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Además de ocurrir naturalmente como {{ORE.NATIVE_COPPER.NOUN}}, también es fácil de fundir apartir de la {{ORE.MALACHITE.NOUN}} mineral. El cobre tiene muchos usos, especialmente en el acuñado de monedas, aunque no es lo suficientemente duro como para crear armas efectivas."
METAL.COPPER_PATINA.ADJECTIVE,,Copper,de pátina de cobre
METAL.COPPER_PATINA.NOUN,,Copper (Patina),Cobre (pátina)
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,de oro
METAL.GOLD.NOUN,,Gold,Oro
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","El rey de los metales. Aunque no es el más raro ni el más valioso, el oro es el metal más codiciado por la mayoría de las razas, especialmente los enanos."
METAL.IRON.ADJECTIVE,,Iron,de hierro
METAL.IRON.NOUN,,Iron,Hierro
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,Pobre es el ejército que no tiene acceso al hierro. Los metaleros enanos conocen los secretos de trabajar el {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,de platino
METAL.PLATINUM.NOUN,,Platinum,Platino
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Un metal blanco plateado que es altamente resistente a la corrosión. El platino es más raro y, por lo tanto, más valioso que  el {{METAL.GOLD.NOUN}}."
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,de hierro oxidado
METAL.RUSTED_IRON.NOUN,,Rust,Hierro oxidado
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,El hierro se oxida cuando está expuesto a la lluvia durante mucho tiempo ¡Tarde o temprano esto se deteriorará por completo!
METAL.SILVER.ADJECTIVE,,Silver,de plata
METAL.SILVER.NOUN,,Silver,Plata
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Al igual que el {{METAL.GOLD.NOUN}}, la plata se usa a menudo para acuñar monedas y en forma de lingotes para el comercio."
METAL.STEEL.ADJECTIVE,,Steel,de acero
METAL.STEEL.NOUN,,Steel,Acero
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Mucho más fuerte que el {{METAL.IRON.NOUN}} se usa para crear armas y herramientas superiores, sólo los enanos conocen el secreto de crear acero."
METAL.TIN.ADJECTIVE,,Tin,de estaño
METAL.TIN.NOUN,,Tin,Estaño
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented),El estaño se puede fundir desde la {{ORE.CASSITERITE.NOUN}} y alear con {{METAL.COPPER.NOUN}} para producir {{METAL.BRONZE.NOUN}}. (Las aleaciones aún no se han implementado)

MILITARY.FORMATION.COLUMN,,Column - Narrow,Columna - Estrecha
MILITARY.FORMATION.COLUMN_DOUBLE,,Column - Wide,Columna - Ancha
MILITARY.FORMATION.COLUMN_SINGLE,,Column,Columna
MILITARY.FORMATION.GRID,,Grid - Narrow,Parrilla - Estrecha
MILITARY.FORMATION.GRID_DOUBLE,,Grid - Wide,Parrilla - Ancha
MILITARY.FORMATION.GRID_SINGLE,,Grid,Parrilla
MILITARY.FORMATION.LINE,,Line - Narrow,Línea - Estrecha
MILITARY.FORMATION.LINE_DOUBLE,,Line - Wide,Línea - Ancha
MILITARY.FORMATION.LINE_SINGLE,,Line,Línea
MILITARY.SQUAD.DEFAULT_NAME,,Squad,Escuadrón
MILITARY.SQUAD.ORDER_DESCRIPTION.COMBAT,,In Combat,En Combate
MILITARY.SQUAD.ORDER_DESCRIPTION.GUARDING,,Guarding,Vigilando
MILITARY.SQUAD.ORDER_DESCRIPTION.OFF_DUTY,,Off Duty,Fuera de Servicio
MILITARY.SQUAD.ORDER_DESCRIPTION.RETREATING,,Retreating,Retirándose
MILITARY.SQUAD.ORDER_DESCRIPTION.TRAINING,,Training,Entrenando
MILITARY.SQUAD.SHIFT.DAYTIME,Used to assign a squad to active duty during the daytime,Day shift,Turno de día
MILITARY.SQUAD.SHIFT.NIGHTTIME,Used to assign a squad to active duty during the nighttime,Night shift,Turno de noche

MODS.APPLY,,Apply,Aplicar
MODS.BUTTON.BROWSE,,Browse Mods,Navegar por los Modos de Juego
MODS.BUTTON.REFRESH,,Refresh,Refrescar
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Si
MODS.COMPATIBILITY.INCOMPATIBLE,,No,No
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Desconocido
MODS.EMAIL_LOGIN.CHECK_EMAIL,,"Check your email for an authentication code. If you do not receive an email, please check your spam folder.","Busca el código de autentificación en tu email. Si no lo recibes, comprueba la carpeta de correo no deseado."
MODS.EMAIL_LOGIN.CODE_LABEL,,6 Digit Code:,Código de 6 dígitos:
MODS.EMAIL_LOGIN.EMAIL,,Enter your email address to receive an authentication code.,Escribe tu dirección de email para recibir el código de autentificación.
MODS.EMAIL_LOGIN.EMAIL_LABEL,,Email:,Email:
MODS.EMAIL_LOGIN.ERROR,,"An error occurred while communicating to the server. Either the server is down, the email address is invalid, or you are not connected to the internet.","Ocurrió un error al intentar comunicar con el servidor. O bien el servidor está fuera de servicio, la dirección de email no en válida o no tienes conexión a internet."
MODS.EMAIL_LOGIN.INFO,,"To download and update mods, you must connect to the Mod.io platform.","Para descargar y actualizar los Modos de Juego, debes conectarte a Mod.io "
MODS.EMAIL_LOGIN.REQUEST_CODE,,Request Code,Solicitar código
MODS.EMAIL_LOGIN.SUBMIT_CODE,,Submit,Enviar
MODS.INCOMPATIBLE_VERSION_DESCRIPTION,,The mod's game version ({{modGameVersion}}) is incompatible with the current game version ({{gameVersion}}),La versión del juego del Modo de juego ({{modGameVersion}}) no es compatible con la versión del juego actual ({{gameVersion}})
MODS.MISSING_HOMEPAGE_URL,,The author(s) of this mod have not included a website to visit,El/Los autor(es) de este Modo de juego no ha(n) incluido una página web.
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Este archivo de guardado se utilizó por última vez mientras los siguientes Modos de Juego estaban activos. Ahora, estos Modos de Juego no están disponibles o están deshabilitados, por lo que es posible que el guardado no se cargue correctamente."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","No se pudo cargar el archivo guardado porque es incompatible con esta versión del juego o porque algunos Modos de Juego se han deshabilitado o eliminado desde la última vez que se cargó este guardado. Se esperaban los siguientes Modos de Juego, pero ya no están activos:"
MODS.SYNC_IN_PROGRESS,,Please wait while the mod list is being updated. This may take a few minutes.,"Por favor, espera un momento mientras se actualiza el Modo de Juego. Esto puede llevar unos minutos."
MODS.TABLE.COMPATIBILITY,,Compatible,Compatible
MODS.TABLE.ENABLED,,Enable,Activar
MODS.TABLE.NAME,,Name,Nombre
MODS.TABLE.ORDERING,,Re-order,Reordenar
MODS.TABLE.VERSION,,Version,Versión

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Bebida
NEEDS.FOOD,,Food,Comida
NEEDS.SLEEP,,Sleep,Sueño

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,¡Sus mineros han descubierto un área nueva !
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Exploración
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, ha muerto debido a {{reason}}."
NOTIFICATION.DEATH.KILLED_BY_DESCRIPTION,,Killed by {{killer}},Asesinado por {{killer}}
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Murió debido a {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler Death,Muerte de un colono
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,¡Se ha producido un incendio en tu asentamiento!
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,¡Fuego!
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.,"Has sobrexplotado el río hasta el punto de que ya no quedan más peces. Vas a tener que esperar hasta la nueva temporada de desove, la próxima primavera, para que vuelvan los peces."
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish Depopulated,Caladero agotado
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Todas las cosas deben llegar a su fin. Tu asentamiento está abandonado.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Fin del Juego
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,La prosperidad de su asentamiento ha atraído a nuevos inmigrantes que impulsarán su población.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Inmigración
NOTIFICATION.INVASION.DESCRIPTION,,A raiding party of orcs has arrived. Prepare yourselves! They will attack after preparing for a while.,A llegado una partida de asalto de orcos. ¡Preparáos! Atacarán tras preparase durante un rato.
NOTIFICATION.INVASION.TITLE,,You are being invaded!,¡Estás siendo invadido!
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Un área se ha derrumbado debido a la falta de pilares u otros soportes.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining Collapse,Derrumbe en la mina
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,Un objeto o mueble ha sido destruido debido a la exposición prolongada a la lluvia.\nAlgunos materiales como el hierro y el acero no deben dejarse en el exterior durante mucho tiempo.
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted Away,Completamente oxidado
NOTIFICATION.PIRATE_INVASION.DESCRIPTION,,Pirates have arrived! Don't let them steal your stuff!,
NOTIFICATION.PIRATE_INVASION.TITLE,,Pirates!,
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,Un tejado se ha derrumbado debido a la falta de pilares u otros soportes.
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof Collapsed,Tejado derrumbado
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,Las penurias de una vida dura han demostrado ser demasiado difíciles de sobrellevar para {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental Break,Colapso mental
NOTIFICATION.SETTLER_STUCK.DESCRIPTION,,"A settler has become stuck, unable to find a drink. Act quickly!",
NOTIFICATION.SETTLER_STUCK.TITLE,,Trapped!,
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!,¡Uno de tus colonos es tan infeliz que se ha pillado un cabreo!
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!,¡Cabreo!
NOTIFICATION.TRADER_ARRIVED.DESCRIPTION,,They are heading to your Trading Depot to buy and sell goods.,Se dirigen a tu Puesto Comercial para comprar y vender bienes.
NOTIFICATION.TRADER_ARRIVED.TITLE,,Traders have arrived!,¡Llegan los mercaderes!
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.DESCRIPTION,,You must construct a Trading Depot to buy and sell goods.,Debes construir un Puesto Comercial para comprar y vender bienes.
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.TITLE,,Traders have arrived!,¡Llegan los mercaderes!

ORE.BAUXITE.ADJECTIVE,,Bauxite,de bauxita
ORE.BAUXITE.NOUN,,Bauxite,Bauxita
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","La bauxita es el mineral primario de aluminio. Lamentablemente, todavía no se ha descubierto un medio de producción de aluminio."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,de carbón bituminoso
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Carbón bituminoso
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Esto se puede convertir en {{ORE.COKE.NOUN}} usando el {{Furniture.COKE_Oven}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,de casiterita
ORE.CASSITERITE.NOUN,,Cassiterite,Casiterita
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,Mineral que se puede fundir para producir {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,de carbón vegetal
ORE.CHARCOAL.NOUN,,Charcoal,Carbón vegetal
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} producido a partir de {{RESOURCE.LOGS.PLURAL}} de madera.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,de crisícola
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Crisícola
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","A menudo confundido con la turquesa, en realidad es un mineral de {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,de coque
ORE.COKE.NOUN,,Coke,Coque
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,Forma refinada del {{ORE.BUTMINOUS_COAL}} que se puede utilizar como {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,de galena
ORE.GALENA.NOUN,,Galena,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,Mineral que se puede fundir para producir {{METAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite,de hematita
ORE.HEMATITE.NOUN,,Hematite,Hematita
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,Mineral que se puede fundir para producir {{METAL.IRON}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,de ilmenita
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenita
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","La ilmenita es el mineral primario de titanio. Lamentablemente, todavía no se ha descubierto un medio de producción de titanio."
ORE.MALACHITE.ADJECTIVE,,Malachite,de malaquita
ORE.MALACHITE.NOUN,,Malachite,Malaquita
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,Mineral que se puede fundir para producir {{METAL.COPPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,de cobre nativo
ORE.NATIVE_COPPER.NOUN,,Native copper,Cobre nativo
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,Forma natural de {{METAL.COPPER}} que debe fundirse antes de su uso.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,de oro nativo
ORE.NATIVE_GOLD.NOUN,,Native gold,Oro nativo
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,Forma natural de {{METAL.GOLD}} que debe fundirse antes de su uso.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,de platino nativo
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Platino nativo
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,Forma natural de {{METAL.PLATINUM}} que debe fundirse antes de su uso.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,de plata nativa
ORE.NATIVE_SILVER.NOUN,,Native silver,Plata nativa
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,Forma natural de {{METAL.SILVER}} que debe fundirse antes de su uso.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,de polucita
ORE.POLLUCITE.NOUN,,Pollucite,Polucita
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","La polucita es un mineral de cesio, que actualmente es demasiado peligroso para producir. Los metaleros enanos especialmente locos están tratando de encontrar un método fiable para su producción."
ORE.PYRITE.ADJECTIVE,,Fool's gold,de oro de los tontos
ORE.PYRITE.NOUN,,Fool's gold,El oro de los tontos
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","También conocida como Pirita, su aspecto amarillo pálido hace que algunos lo confundan con oro. Tiene varios usos cuando se tritura, pero se debe tener cuidado ya que produce chispas al golpearlo."
ORE.THORIUM.ADJECTIVE,,Thorium,de torio
ORE.THORIUM.NOUN,,Thorium,Torio
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,Un mineral metálico plateado que se vuelve negro cuando se expone al aire. Es extrañamente cálido al tacto.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,de wolframita
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframita
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,Un mineral metálico que complica la fundición del estaño. Tiene un punto de fusión demasiado alto para ser fundido con procesos normales.

OTHER.ASH,,Charred,Calcinado
OTHER.BRICK.NOUN,,Brick,Ladrillo
OTHER.CLAY_SOIL.NOUN,,Clay soil,Arcilla
OTHER.GRASS.NOUN,,,Hierba

PRIORITY.DISABLED,,Disabled,Detenido
PRIORITY.HIGHER,,Higher priority,Alta
PRIORITY.HIGHEST,,Highest priority,Muy alta
PRIORITY.LOWER,,Lower priority,Baja
PRIORITY.LOWEST,,Lowest priority,Muy baja
PRIORITY.NORMAL,,Normal priority,Normal

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I Accept,Acepto
PRIVACY.OPT_IN.DATA_POINT.1,,• The version of the game client,· La versión del cliente del juego
PRIVACY.OPT_IN.DATA_POINT.2,,• Your options settings,· Tus ajustes de opciones
PRIVACY.OPT_IN.DATA_POINT.3,,• The status of the game at the time of the crash,· El estado del juego en el momento del problema
PRIVACY.OPT_IN.DESCRIPTION,,"Mountaincore is in active development. To help diagnose and fix bugs, please click ""I Accept"" below to send anonymous crash reports automatically. \n\nThis is made up of only the following data:","Mountaincore está en desarrollo activo. Para ayudar a diagnosticar y corregir fallos, por favor haz click en 'Acepto' para enviar automáticamente informes anónimos de errores. \n\nEstos contienen los siguientes datos:"
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable Reporting,Deshabilitar Informes

PRODUCT.ANVIL,,Anvil,Yunque
PRODUCT.ANVIL.PLURAL,,Anvils,Yunques
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}}.,Un gran bloque de metal utilizado para martillar metal caliente y darle forma. Necesario para construir una {{Furniture.FORGE}.
PRODUCT.BARREL.HOOPS,,Barrel hoops,Aros para barril
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,Aros metálicos utilizados para construir un {{PRODUCT.BARREL.NOUN}}. También se utiliza en alguna maquinaria.
PRODUCT.BARREL.NOUN,,Barrel,Barril
PRODUCT.BARREL.PLURAL,,Barrels,Barriles
PRODUCT.BARREL.STAVES,,Barrel staves,Duelas para barril
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Tablas de madera curvadas utilizadas para construir un {{PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Un recipiente cilíndrico para líquidos. La forma curva hace que sea más fácil de rodar.
PRODUCT.BOWL,A bowl for eating from,Bowl,Cuenco
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Cuenco de {{cooking.soup.description}}
PRODUCT.BOWL.PLURAL,,Bowls,Cuencos
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Masa
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Masas
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,Mezcla de ingredientes que se puede hornear en {{PRODUCT.BREAD.LOAF.PLURAL}} usando un {{Furniture.BAKING_Oven}}.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Hogaza de pan
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Hogazas de pan
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","¡Pan preparado, listo para comer!"
PRODUCT.BUCKET.NOUN,,Bucket,Cubo
PRODUCT.BUCKET.PLURAL,,Buckets,Cubos
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,Un pequeño recipiente utilizado para mover líquidos a mano.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldero
PRODUCT.CAULDRON.PLURAL,,Cauldrons,Calderos
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Utilizado por un {{PROFESSION.CHEF}} para preparar sopa en una {{ROOMS.KITCHEN}}, que luego se lleva a un {{ROOMS.FEASTING_HALL}}."
PRODUCT.CHEST.NOUN,,Chest,Cofre
PRODUCT.CHEST.PLURAL,,Chests,Cofres
PRODUCT.CHEST.TOOLTIP,,Used to store coins for trading.,Utilizado para almacenar monedas para el comercio.
PRODUCT.LEATHER.NOUN,,Leather,Cuero
PRODUCT.LEATHER.PLURAL,,Leather,Cueros
PRODUCT.LINEN.NOUN,,Linen,Tela
PRODUCT.LINEN.PLURAL,,Linen,Telas
PRODUCT.LINEN.TOOLTIP,,"A roll of fabric, primarily used for bedding.","Un rollo de tela, usado principalmente para hacer camas."
PRODUCT.LIQUID.TANK,,Tank,Tanque
PRODUCT.LIQUID.TANK.PLURAL,,Tanks,Tanques
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",Un contenedor metálico usado para almacenar líquidos y que puede ser forjado en una {{FURNITURE.FORGE}}.
PRODUCT.MILLSTONE,,Millstone,Muela
PRODUCT.MILLSTONE.PLURAL,,Millstones,Muelas
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,Dos grandes discos de piedra que giran uno sobre otro para moler el grano. Se utiliza para construir un {{Furniture.Flour_MILL}}.
PRODUCT.RATION.DOUGH.NOUN,,Ration dough,Ración de masa
PRODUCT.RATION.DOUGH.PLURAL,,Ration dough,Raciones de masa
PRODUCT.RATION.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.RATION.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,Una mezcla de ingredientes que puede ser horneada en {{PRODUCT.RATION.LOAF.PLURAL}} usando un {{FURNITURE.BAKING_OVEN}}.
PRODUCT.RATION.NOUN,,Ration,Ración
PRODUCT.RATION.PLURAL,,Rations,Raciones
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Estas durarán mucho tiempo y alimentarán a tus colonos, pero necesitarás otras fuentes de alimentos como prioridad."
PRODUCT.ROPE.NOUN,,Rope,Cuerda
PRODUCT.ROPE.PLURAL,,Ropes,Cuerdas
PRODUCT.STONE.GEAR.NOUN,,Gear,Engranaje
PRODUCT.STONE.GEAR.PLURAL,,Gears,Engranajes
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,Usados en la construcción de artilugios mecánicos
PRODUCT.STONE.PIPE.NOUN,,Pipe,Tubería
PRODUCT.STONE.PIPE.PLURAL,,Pipes,Tuberías
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,Usadas para el transporte de líquidos entre casillas subterráneas.
PRODUCT.WATERSKIN.NOUN,,Waterskin,Cantinplora de cuero
PRODUCT.WATERSKIN.PLURAL,,Waterskins,Cantinploras de cuero
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,Eje horizontal
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,Ejes horizontales
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,Usados para conectar mecanismos que requieren energía.
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,Eje vertical
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,Ejes verticales
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,Usados para conectar mecanismos que requieren energía.

PROFESSION.ARTISAN.FEMALE_NOUN,,Artisan,Artesana
