KEY,NOTES,ENGLISH,DANISH
GUI.DECONSTRUCT_LABEL,,Demolish,Nedriv
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Anuller
GUI.DIALOG.CONFIRM,,Confirm,Bekræft
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,"Er du sikker på, du vil slette {{name}}?"
GUI.DIALOG.DISMISS,,Dismiss,Afvis
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Der findes allerede et rum med det navn.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Det gemte spil kunne ikke indlæses, da det er inkompatibelt med denne version af spillet."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Der er opstået en fejl
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Der opstod en uventet fejl under indlæsning af spillet.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Der opstod en uventet fejl under lagring af spillet.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,Skjul disse beskeder
GUI.DIALOG.INFO_TITLE,,Information,Information
GUI.DIALOG.JUMP_TO,,Go to Location,Gå til placering
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Den valgte sprogoversættelse er i øjeblikket ufuldstændig og mangler tekst. Skifter tilbage til et andet sprog.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Du har valgt et andet sæt modifikationer til spillet. Disse vil blive anvendt, efter en genstart af spillet."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,En eller flere modifikationer er inkompatible med denne version af spillet og er blevet deaktiveret. Du kan søge efter opdateringer i modifikationsmenuen.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Omdøb rum
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Omdøb bosætter
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Du skal genstarte spillet, før denne ændring træder i kraft"
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,"Du har allerede et gemt spil med bosættelsen {{name}}. Hvis du starter et nyt spil, vil dette overskrive det eksisterende gemte spil. Er du sikker på at du vil fortsætte?"
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Du skal specificere et navn til din bosættelse.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Lagerindstillinger
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Klik her for at tilslutte dig vores Discord-gruppe.
GUI.EMBARK.MAP_SEED,,Random Seed,Tilfældigt kortfrø
GUI.EMBARK.MAP_SIZE,,Map Size,Kortstørrelse
GUI.EMBARK.MAP_SIZE.LARGE,,Large,Stor
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,Middel
GUI.EMBARK.MAP_SIZE.SMALL,,Small,Lille
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,Fredelig tilstand
GUI.EMBARK.SETTLEMENT_NAME,,Name,Navn
GUI.EMBARK.START,,Begin!,Begynd!
GUI.EMBARK.TITLE,,Choose Kingdom,Vælg kongerige
GUI.EMPTY_CONTAINER_LABEL,,Empty,Tom
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Indhold bliver tømt.
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Smid indholdet af denne beholder på jorden.
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Tildelt til {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Er i øjeblikket ved at blive fjernet
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}} tilgængelig
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}} tilgængelig
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Fuldskærm
GUI.GRAPHICS.RESOLUTION,,Resolution,Opløsning
GUI.INVASION_LABEL,,Invasion,Invasion
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,Debug frame buffer 0
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,Debug frame buffer 1
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,Debug frame buffer 2
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,Debug frame buffer 3
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,Debug frame buffer 4
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,Debug frame buffer 5
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,Debug frame buffer 6
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,Debug frame buffer 7
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,Debug frame buffer 8
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,Debug frame buffer 9
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,Debug game speed slow
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,Debug game speed ultra fast
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,Debug hide gui
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,Debug show individual lighting buffers
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,Debug show job status
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,Debug show liquid flow
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,Debug show menu
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,Debug show pathfinding nodes
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,Debug show zones
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,Debug toggle floor overlap rendering
GUI.KEY_BINDING.FAST_PAN,,Fast pan,Hurtig panorering
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,Hurtig spilhastighed
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,Hurtigere spilhastighed
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,Hurtigste spilhastighed
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,Normal spilhastighed
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,Panorér kamera ned
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,Panorér kamera til venstre
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,Panorér kamera til højre
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,Panorér kamera op
GUI.KEY_BINDING.PAUSE,,Pause,Pause
GUI.KEY_BINDING.QUICKLOAD,,Quickload,Hurtig indlæsning af gemt spil
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,Hurtig lagring af spil
GUI.KEY_BINDING.ROTATE,,Rotate,Rotér
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,Zoom ind
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,Zoom ud
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Ingen afgrød er blevet valgt til plantning på nuværende tidspunkt
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Sidst ændret
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Slet
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Alder på verden
GUI.LOAD_GAME.TABLE.PLAY,,Play,Spil
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Navn
GUI.LOAD_GAME.TABLE.VERSION,,Version,Version
GUI.LOAD_GAME.TITLE,,Load Game,Indlæs spil
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Kopiér til udklipsholder
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",Nuværende kortfrø:
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Horisontal
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Vertikal
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,Navngiv ny trup
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},Vælg emblem til {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,Omdøb trup
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,Tildel til ny trup
GUI.MILITARY.NEW_SQUAD,,New Squad,Ny trup
GUI.MILITARY.ORDERS,,Orders,Ordrer
GUI.MILITARY.ORDERS.ATTACK,,Attack,Angrib
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,Afbryd angreb
GUI.MILITARY.ORDERS.GUARD,,Guard,Bevogt
GUI.MILITARY.ORDERS.RETREAT,,Retreat,Tilbagetræk
GUI.MILITARY.ORDERS.TRAIN,,Train,Træn
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,Fjern trup
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,"Er du sikker på, du vil fjerne denne trup?"
GUI.MILITARY.SET_FORMATION,,Set Formation,Sæt formation
GUI.MILITARY.SET_ORDERS,,Set Orders,Sæt ordrer
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,Militærdværge
GUI.MILITARY.TAB.SQUADS,,Military Squads,Militærtrupper
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,Trænede civile
GUI.MINIMAP.LABEL,,Minimap,Minikort
GUI.MUSIC_VOLUME,,Music,Musik
GUI.NEXT_LABEL,,Next,Næste
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Dette møbel kan ikke drejes i denne version af spillet
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Lydindstillinger
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,"Gør træer gennemsigtige, når de tilslører bosættere"
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Gameplay-indstillinger
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Panorér, når musmarkøren er ved kanten af skærmen"
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,Zoom til musmarkør
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Kantløs fuldskærm
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Eksklusiv fuldskærm
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,Vindue
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",Grafikindstillinger
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,Vejreffekter
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,Vis vejreffekter såsom sne på møbler
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,Tasteindstillinger
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,Tilvælg crash-rapporter
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Diverse
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,Start spil med træning
GUI.OPTIONS.RESET,,Reset,Nulstil
GUI.OPTIONS.TAB.AUDIO,,Audio,Lyd
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Gameplay
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Grafik
GUI.OPTIONS.TAB.MISC,,Other,Andet
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch-konto
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Kode
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Forbundet til Twitch-konto
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Afbryd forbindelse
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Forbindelse til Twitch-konto afbrudt
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Twitch-integration slået til
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,En fejl opstod under kommunikationen med Twitch
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,Link Twitch-konto
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Giv prioritet til abonnenter
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Indsend
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitch-integration
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Brug seeres navne til bosættere
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}} seere
GUI.ORDERS.CHOP_WOOD,,Chop,Hug
GUI.ORDERS.CLEAR_GROUND,,Clear,Ryd
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Vandingskanal
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Denne ordre bruges til at grave kanaler i jorden.
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Sluk brand
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,"Denne ordre bruges til at slukke brande, der brænder i øjeblikket."
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Høst
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Jag
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,"Denne ordre bruges til at vælge bytte, der skal jages."
GUI.ORDERS.MINE,,Mine,Udgrav
GUI.ORDERS_LABEL,,Orders,Ordrer
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,En bro skal dække begge sider af floden og skal fylde mindst 3x3 felter
GUI.POWER_LABEL,,Power & Water,Kraft & Vand
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} og {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} forbindes til kraftledninger {{drawable|tooltip_icon_power}}{{\n}}Kraftledninger {{drawable|tooltip_icon_power}} kraft {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} og andet kraftdrevet udstyr {{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} og vandingskanaler {{drawable|tooltip_icon_irrigation}} forbindes til {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}}
GUI.PRIORITY_LABEL,,Priority,Prioritet
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,Vælg ting der skal eksporteres
GUI.PRODUCTION_EXPORT.LIMIT.REACHED,,Production halted - limit is set to {{quantity}},
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,Vælg ting der skal importeres
GUI.REMOVE_LABEL,,Remove,Fjern
GUI.REMOVE_TILES,,Remove tiles,Fjern felter
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},Alle {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,Tilgængelig
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}} tilgængelig
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,{{item}} er ved at få sit indhold tømt af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,{{item}} er ved at få deres indhold tømt af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,{{item}} er planlagt til fragt
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}} er planlagt til fragt
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,{{item}} er udstyret af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,{{item}} er udstyret af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}} er reserveret til
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,{{item}} er reserveret til
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}} er ved at blive fragtet af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,{{item}} er ved at blive fragtet af
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,{{item}} er i beholdningen hos
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,{{item}} er i beholdningen hos
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,{{item}} er gået i brand
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,{{item}} er gået i brand
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,{{item}} er ved at blive placeret til konstruktion
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction,{{item}} er ved at blive placeret til konstruktion
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet,{{item}} er på en importpalle
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet,{{item}} er på en importpalle
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT,,{{item}} is being moved to an export palle,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT.PLURAL,,{{item}} are being moved to an export pallet,
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}},{{quantity}} {{item}}
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search,Søg
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By,Sort efter
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressourcer
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total,Total
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Tilgængelig: {{count}
GUI.ROOFING.ADD,,Add,Tilføj
GUI.ROOMS_LABEL,,Rooms,Rum
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Tryk (R) for at rotere møbler
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Gemmer...
GUI.SELECT_WEAPON.LABEL,,Select weapon,Udvælg våben
GUI.SETTINGS.LABEL,,Settings,Indstillinger
GUI.SETTLER_MANAGEMENT.CHOOSE_ARMOUR,,Choose Armour,Vælg rustning
GUI.SETTLER_MANAGEMENT.CHOOSE_SHIELD,,Choose Shield,Vælg skjold
GUI.SETTLER_MANAGEMENT.CHOOSE_WEAPON,,Choose Weapon,Vælg våben
GUI.SETTLER_MANAGEMENT.HAPPINESS,,Happiness {{happinessValue}},Lykke {{happinessValue}}
GUI.SETTLER_MANAGEMENT.IMMIGRATION,,Immigration,Immigration
GUI.SETTLER_MANAGEMENT.MAIN_HAND.STATUS,,The main hand cannot be used. {{status}},Den dominerende hånd kan ikke bruges. {{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.STATUS,,The off hand cannot be used. {{status}},Den ikke-dominerende hånd kan ikke bruges. {{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.TWO_HANDED_WEAPON,,The {{weaponName}} requires two hands to use,{{weaponName}} kræver to hænder
GUI.SETTLER_MANAGEMENT.POPULATION_STATISTICS,,Civilian Population {{civilianCount}} (Civilian Beds {{civilianBedCount}}) - Military Population {{militaryCount}} (Military Beds {{militaryBedCount}}) - Total Population {{populationCount}},Civilbefolkning {{civilianCount}} (Civiles senge {{civilianBedCount}}) - Militærbefolkning {{militaryCount}} (Militærets senge {{militaryBedCount}}) - Total folkemængde {{populationCount}}
GUI.SETTLER_MANAGEMENT.PROFESSION.CIVILIAN,,Civilian,Civil
GUI.SETTLER_MANAGEMENT.PROFESSION.MILITARY,,Military,Militær
GUI.SETTLER_MANAGEMENT.PROFESSION.VILLAGER,,Hauler,Byboer
GUI.SETTLER_MANAGEMENT.SEARCH,,Search,Søg
GUI.SETTLER_MANAGEMENT.SORT.HAPPINESS,,Happiness,Lykke
GUI.SETTLER_MANAGEMENT.SORT.MILITARY_CIVILIAN,,Military/Civilian,Militær/Civil
GUI.SETTLER_MANAGEMENT.SORT.NAME,,Name,Navn
GUI.SETTLER_MANAGEMENT.SORT.SKILL_LEVEL,,Skill Level,Færdighedsniveau
GUI.SETTLER_MANAGEMENT.SORT_BY,,Sort By,Sortér efter
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Bosættere
GUI.SOUND_EFFECT_VOLUME,,Sound Effects,Lydeffekter
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI Scale,Brugerfladeskala
GUI.VIEW_MODE.DEFAULT,,Default view,Standardvisning
GUI.VIEW_MODE.JOB_PRIORITY,,Priority view,Prioritetsvisning
GUI.VIEW_MODE.MECHANISMS,,Power view,Kraftvisning
GUI.VIEW_MODE.PIPING,,Piping view,Rørvisning
GUI.VIEW_MODE.ROOFING_INFO,,Roof view,Tagvisning
GUI.VIEW_ROADMAP,,View development roadmap,Se spillets udviklingssti
GUI.YEAR_LABEL,,Year {{year}},År {{year}}

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,Er ved at blive ædru
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,Spiste et godt  tilberedt måltid
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,Bløder voldsomt
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,Bar et lig
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,Fanget udenfor i regnen
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,Påvirket af alkohol
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Drak vand fra flod
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,Sulter
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Kritisk dehydreret
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,Havde et raserianfald
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimistisk omkring den nye bosættelse
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,Blev voldsomt forbrændt
HAPPINESS_MODIFIER.POISONED,,Poisoned,Forgiftet
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,Så et lig
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,Sov i regnen
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,Sov i sneen
HAPPINESS_MODIFIER.SLEPT_IN_BED,,Slept in a comfortable bed,Sov i en komfortabel seng
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Sovet på hårdt underlag
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Sov under stjernerne
HAPPINESS_MODIFIER.TITLE,,Happiness:,Lykke:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Meget sulten
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Meget tørstig
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Ekstremt træt
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,Arbejdede i et lukket rum
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,Arbejder i regnen

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} tildelt {{targetDescription}

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels.",Du kan bruge denne visning til at ligger vandrør mellem indgange og udgange såvel som vandingskanaler.
