KEY,NOTES,ENGLISH,GERMAN
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented),Bronze ist eine Legierung aus Kupfer und Zinn. Sie ist härter und viel haltbarer als Kupfer selbst. (Legierungen wurden noch nicht eingebaut.)
METAL.COPPER.ADJECTIVE,,Copper,Kupfer
METAL.COPPER.NOUN,,Copper,Kupfer
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","Neben dem natürlichen Kupfervorkommen, kann man es auch leicht aus Malachiterz schmelzen. Kupfer ist vielseitig verwendbar, insbesondere in der Münzprägung, obwohl es nicht fest genug ist, um wirksame Waffen herzustellen."
METAL.COPPER_PATINA.ADJECTIVE,,Copper,Kupfer
METAL.COPPER_PATINA.NOUN,,Copper (Patina),Kupfer (Patina)
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,Gold
METAL.GOLD.NOUN,,Gold,Gold
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","König der Metalle. Obwohl es nicht das seltenste oder wertvollste ist, ist Gold das begehrteste Metall bei den meisten Rassen - besonders bei den Zwergen."
METAL.IRON.ADJECTIVE,,Iron,Eisen
METAL.IRON.NOUN,,Iron,Eisen
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,"Das Militär ist schwach, wenn es keinen Zugang zu Eisen hat. Zwergenmetallschmiede kennen die Geheimnisse der Verarbeitung zu Stahl."
METAL.PLATINUM.ADJECTIVE,,Platinum,Platin
METAL.PLATINUM.NOUN,,Platinum,Platin
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,"Ein silber-weißes Metall, das sehr korrosionsbeständig ist. Platin ist seltener und daher wertvoller als Gold."
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,Verrostetes Eisen
METAL.RUSTED_IRON.NOUN,,Rust,Rost
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,"Eisen rostet, wenn es längere Zeit Regen ausgesetzt wird. Irgendwann wird dies vollständig verfallen!"
METAL.SILVER.ADJECTIVE,,Silver,Silber
METAL.SILVER.NOUN,,Silver,Silber
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",Wie Gold wird Silber oft zur Münzprägung und als massive Barren für den Handel von Vermögen verwendet.
METAL.STEEL.ADJECTIVE,,Steel,Stahl
METAL.STEEL.NOUN,,Steel,Stahl
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Weit stärker als Eisen, was für überlegene Waffen und Werkzeuge sorgt. Nur die Zwerge kennen das Geheimnis der Stahlerzeugung."
METAL.TIN.ADJECTIVE,,Tin,Zinn
METAL.TIN.NOUN,,Tin,Zinn
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented),"Zinn kann aus Kassiterit geschmolzen und mit Kupfer legiert werden, um Bronze herzustellen. (Legierungen wurden noch nicht eingebaut.)"

MILITARY.FORMATION.COLUMN,,Column - Narrow,Kolonne - Schmal
MILITARY.FORMATION.COLUMN_DOUBLE,,Column - Wide,Kolonne - Breit
MILITARY.FORMATION.COLUMN_SINGLE,,Column,Kolonne
MILITARY.FORMATION.GRID,,Grid - Narrow,Block - Schmal
MILITARY.FORMATION.GRID_DOUBLE,,Grid - Wide,Block - Breit
MILITARY.FORMATION.GRID_SINGLE,,Grid,Block
MILITARY.FORMATION.LINE,,Line - Narrow,Linie - Schmal
MILITARY.FORMATION.LINE_DOUBLE,,Line - Wide,Linie - Breit
MILITARY.FORMATION.LINE_SINGLE,,Line,Linie
MILITARY.SQUAD.DEFAULT_NAME,,Squad,Gruppe
MILITARY.SQUAD.ORDER_DESCRIPTION.COMBAT,,In Combat,Im Kampf
MILITARY.SQUAD.ORDER_DESCRIPTION.GUARDING,,Guarding,Verteidigt
MILITARY.SQUAD.ORDER_DESCRIPTION.OFF_DUTY,,Off Duty,Dienstfrei
MILITARY.SQUAD.ORDER_DESCRIPTION.RETREATING,,Retreating,Auf dem Rückzug
MILITARY.SQUAD.ORDER_DESCRIPTION.TRAINING,,Training,Trainiert
MILITARY.SQUAD.SHIFT.DAYTIME,Used to assign a squad to active duty during the daytime,Day shift,Tagschicht
MILITARY.SQUAD.SHIFT.NIGHTTIME,Used to assign a squad to active duty during the nighttime,Night shift,Nachtschicht

MODS.APPLY,,Apply,Anwenden
MODS.BUTTON.BROWSE,,Browse Mods,Mods durchsuchen
MODS.BUTTON.REFRESH,,Refresh,Aktualisieren
MODS.COMPATIBILITY.COMPATIBLE,,Yes,Ja
MODS.COMPATIBILITY.INCOMPATIBLE,,No,Nein
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Unbekannt
MODS.EMAIL_LOGIN.CHECK_EMAIL,,"Check your email for an authentication code. If you do not receive an email, please check your spam folder.","Prüfe deine E-Mail auf einen Authentifizierungscode. Wenn du keine E-Mail erhältst, überprüfe bitte deinen Spam-Ordner."
MODS.EMAIL_LOGIN.CODE_LABEL,,6 Digit Code:,6-stelliger Code:
MODS.EMAIL_LOGIN.EMAIL,,Enter your email address to receive an authentication code.,"Gib deine E-Mail-Adresse ein, um einen Authentifizierungscode zu erhalten."
MODS.EMAIL_LOGIN.EMAIL_LABEL,,Email:,E-Mail:
MODS.EMAIL_LOGIN.ERROR,,"An error occurred while communicating to the server. Either the server is down, the email address is invalid, or you are not connected to the internet.","Bei der Kommunikation mit dem Server ist ein Fehler aufgetreten. Entweder ist der Server ausgefallen, die E-Mail-Adresse ist ungültig, oder du bist nicht mit dem Internet verbunden."
MODS.EMAIL_LOGIN.INFO,,"To download and update mods, you must connect to the Mod.io platform.","Um Mods herunterzuladen und zu aktualisieren, musst du dich mit der Mod.io-Plattform verbinden."
MODS.EMAIL_LOGIN.REQUEST_CODE,,Request Code,Code anfordern
MODS.EMAIL_LOGIN.SUBMIT_CODE,,Submit,Absenden
MODS.INCOMPATIBLE_VERSION_DESCRIPTION,,The mod's game version ({{modGameVersion}}) is incompatible with the current game version ({{gameVersion}}),Die Spielversion der Mod ({{modGameVersion}}) ist nicht kompatibel mit der aktuellen Spielversion ({{gameVersion}})
MODS.MISSING_HOMEPAGE_URL,,The author(s) of this mod have not included a website to visit,"Der/die Autor(en) dieser Mod haben keine Website angegeben, die man besuchen kann"
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Dieser Spielstand wurde zuletzt verwendet, als die folgenden Mods aktiv waren. Diese Mods fehlen jetzt oder sind deaktiviert, so dass die Datei möglicherweise nicht korrekt geladen wird."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Der Spielstand konnte nicht geladen werden, weil er entweder mit dieser Version des Spiels nicht kompatibel ist oder weil einige Mods seit dem letzten Laden des Spielstands deaktiviert oder entfernt wurden. Die folgenden Mods wurden erwartet, sind aber nicht mehr aktiv:"
MODS.SYNC_IN_PROGRESS,,Please wait while the mod list is being updated. This may take a few minutes.,"Bitte warte, während die Mod-Liste aktualisiert wird. Dies kann ein paar Minuten dauern."
MODS.TABLE.COMPATIBILITY,,Compatible,Kompatibel
MODS.TABLE.ENABLED,,Enable,Aktivieren
MODS.TABLE.NAME,,Name,Name
MODS.TABLE.ORDERING,,Re-order,Neu ordnen
MODS.TABLE.VERSION,,Version,Version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Trinken
NEEDS.FOOD,,Food,Essen
NEEDS.SLEEP,,Sleep,Schlafen

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Deine Bergleute haben ein neues Gebiet entdeckt!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Erkundung
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",{{character}} ist aufgrund von {{reason}} gestorben.
NOTIFICATION.DEATH.KILLED_BY_DESCRIPTION,,Killed by {{killer}},Getötet von {{killer}}
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Wegen {{reason}} gestorben
NOTIFICATION.DEATH.TITLE,,Settler Death,Siedlertod
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,In Ihrer Siedlung ist ein Feuer ausgebrochen!
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,Feuer!
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.,"Sie haben den Fluss so überfischt, dass es keine Fische mehr gibt. Sie müssen bis zur Laichzeit im nächsten Frühjahr warten, bis die Fische zurückkehren."
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish Depopulated,Fische entvölkert
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Alle Dinge müssen zu einem Ende kommen. Deine Siedlung ist verlassen.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Spielende
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,"Der Wohlstand deiner Siedlung hat eine Reihe neuer Einwanderer angezogen, um deine Bevölkerung zu verstärken."
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Einwanderung
NOTIFICATION.INVASION.DESCRIPTION,,A raiding party of orcs has arrived. Prepare yourselves! They will attack after preparing for a while.,"Ein Überfallkommando von Orks ist eingetroffen. Mach dich bereit! Sie werden angreifen, nachdem sie sich eine Zeit lang vorbereitet haben."
NOTIFICATION.INVASION.TITLE,,You are being invaded!,Du wirst überfallen!
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Ein Gebiet ist aufgrund fehlender Stützpfeiler und Abstützungen eingestürzt.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining Collapse,Mineneinsturz
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,Ein Gegenstand oder ein Möbelstück wurde durch längere Regeneinwirkung zerstört. Einige Materialien wie Eisen und Stahl sollten nicht für längere Zeit im Freien gelassen werden.
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted Away,Verrostet
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,Ein Dach ist mangels Stützen eingestürzt.
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof Collapsed,Dach eingestürzt
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,Die zermürbende Not konnte von {{character}} nicht mehr ertragen werden.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental Break,Nervenzusammenbruch
NOTIFICATION.SETTLER_STUCK.DESCRIPTION,,"A settler has become stuck, unable to find a drink. Act quickly!",
NOTIFICATION.SETTLER_STUCK.TITLE,,Trapped!,
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!,"{{character}} ist so unglücklich geworden, dass sie einen Wutanfall bekommen!"
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!,Wutanfall!
NOTIFICATION.TRADER_ARRIVED.DESCRIPTION,,They are heading to your Trading Depot to buy and sell goods.,"Sie sind auf dem Weg zu Ihrem Handelsdepot, um Waren zu kaufen und zu verkaufen."
NOTIFICATION.TRADER_ARRIVED.TITLE,,Traders have arrived!,Die Händler sind eingetroffen!
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.DESCRIPTION,,You must construct a Trading Depot to buy and sell goods.,"Du musst ein Handelsdepot errichten, um Waren zu kaufen und verkaufen."
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.TITLE,,Traders have arrived!,Die Händler sind eingetroffen!

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxit
ORE.BAUXITE.NOUN,,Bauxite,Bauxit
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",Bauxit ist das Haupterz von Aluminium. Leider ist ein Weg zur Aluminiumproduktion noch nicht entdeckt worden.
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Steinkohle
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Steinkohle
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,"Dies kann mithilfe eines Ofens in Koks umgewandelt werden. "
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Kassiterit
ORE.CASSITERITE.NOUN,,Cassiterite,Kassiterit
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,"Ein Erz, das geschmolzen werden kann, um Zinn zu produzieren."
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Holzkohle
ORE.CHARCOAL.NOUN,,Charcoal,Holzkohle
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,Brennstoff hergestellt aus Holzstämmen.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysokoll
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysokoll
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Oft mit Türkis verwechselt, ist es in Wirklichkeit ein Kupfererz."
ORE.COKE.ADJECTIVE,,Coke,Koks
ORE.COKE.NOUN,,Coke,Koks
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,"Eine verfeinerte Form von Steinkohl, die als Brennstoff eingesetzt werden kann."
ORE.GALENA.ADJECTIVE,,Galena,Galenit
ORE.GALENA.NOUN,,Galena,Galenit
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,"Ein Erz, das geschmolzen werden kann, um Silber herzustellen."
ORE.HEMATITE.ADJECTIVE,,Hematite,Hämatit
ORE.HEMATITE.NOUN,,Hematite,Hämatit
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,"Ein Erz, das geschmolzen werden kann, um Eisen herzustellen."
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilemenit
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenit
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",Ilmenit ist das Haupterz von Titan. Leider ist ein Mittel zur Herstellung von Titan noch nicht entdeckt worden.
ORE.MALACHITE.ADJECTIVE,,Malachite,Malachit
ORE.MALACHITE.NOUN,,Malachite,Malachit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,"Ein Erz, das geschmolzen werden kann, um Kupfer herzustellen."
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Reinkupfer
ORE.NATIVE_COPPER.NOUN,,Native copper,Reinkupfer
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,"Natürlich vorkommendes Kupfer, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Reingold
ORE.NATIVE_GOLD.NOUN,,Native gold,Reingold
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,"Natürlich vorkommendes Gold, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Reinplatin
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Reinplatin
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,"Natürlich vorkommendes Platin, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Reinsilber
ORE.NATIVE_SILVER.NOUN,,Native silver,Reinsilber
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,"Natürlich vorkommendes Silber, das geschmolzen werden muss bevor es verwendet werden kann."
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Pollucit
ORE.POLLUCITE.NOUN,,Pollucite,Pollucit
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Pollucit ist ein Cäsiumerz, dessen Förderung derzeit zu gefährlich ist. Besonders verrückte zwergische Metallschmiede versuchen trotzdem eine zuverlässige Herstellungsmethode zu finden."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Katzengold
ORE.PYRITE.NOUN,,Fool's gold,Katzengold
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Auch als Pyrit bekannt, wird es wegen seines blassgelben Aussehens von manchen mit Gold verwechselt. Es hat mehrere Verwendungen, wenn es zerkleinert wird, aber Vorsicht ist geboten, da es beim Schlagen Funken sprühen kann."
ORE.THORIUM.ADJECTIVE,,Thorium,Thorium
ORE.THORIUM.NOUN,,Thorium,Thorium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,"Ein silbrig metallisches Erz, das sich an der Luft schwarz färbt. Es fühlt sich seltsam warm an."
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframit
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframit
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,"Ein metallisches Erz, das das Schmelzen von Zinn erschwert. Es hat einen zu hohen Schmelzpunkt, um mit normalen Verfahren geschmolzen zu werden."

OTHER.ASH,,Charred,Verkohlt
OTHER.BRICK.NOUN,,Brick,Ziegel
OTHER.CLAY_SOIL.NOUN,,Clay soil,Lehmboden
OTHER.GRASS.NOUN,,,Gras

PRIORITY.DISABLED,,Disabled,Deaktiviert
PRIORITY.HIGHER,,Higher priority,Höher
PRIORITY.HIGHEST,,Highest priority,Am höchsten
PRIORITY.LOWER,,Lower priority,Niedriger
PRIORITY.LOWEST,,Lowest priority,Am niedrigsten
PRIORITY.NORMAL,,Normal priority,Normal

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I Accept,Ich stimme zu
PRIVACY.OPT_IN.DATA_POINT.1,,• The version of the game client,• Die Version des Spielclients
PRIVACY.OPT_IN.DATA_POINT.2,,• Your options settings,• Ihre Optionseinstellungen
PRIVACY.OPT_IN.DATA_POINT.3,,• The status of the game at the time of the crash,• Der Status des Spiels zum Zeitpunkt des Absturzes
PRIVACY.OPT_IN.DESCRIPTION,,"Mountaincore is in active development. To help diagnose and fix bugs, please click ""I Accept"" below to send anonymous crash reports automatically. \n\nThis is made up of only the following data:","Mountaincore befindet sich in aktiver Entwicklung. Um bei der Diagnose und Behebung von Fehlern zu helfen, klicke bitte unten auf ""Ich akzeptiere"", um automatisch anonyme Absturzberichte zu senden. nnDieser besteht nur aus den folgenden Daten:"
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable Reporting,Berichte deaktivieren

PRODUCT.ANVIL,,Anvil,Amboss
PRODUCT.ANVIL.PLURAL,,Anvils,Ambosse
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}}.,"Ein großer Metallblock auf dem erhitztes Metall in Form gehämmert wird. Erforderlich, um eine Schmiede zu errichten."
PRODUCT.BARREL.HOOPS,,Barrel hoops,Fassreifen
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,"Metallreifen, die beim Fassbau benötigt werden. Wird auch in einigen Maschinen verwendet."
PRODUCT.BARREL.NOUN,,Barrel,Fass
PRODUCT.BARREL.PLURAL,,Barrels,Fässer
PRODUCT.BARREL.STAVES,,Barrel staves,Fassdauben
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Gebogene Holzbretter aus denen ein Fass konstruiert wird.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Ein zylindrischer Behälter für Flüssigkeiten. Die runde Form erleichtert das Herumrollen.
PRODUCT.BOWL,A bowl for eating from,Bowl,Schale
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Schale mit {{cooking.soup.description}}
PRODUCT.BOWL.PLURAL,,Bowls,Schalen
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Teig
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Teige
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"Eine Mischung aus Zutaten, die mit einem Ofen zu Broten gebacken werden kann"
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Brotlaib
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Brotlaibe
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Zubereitetes Brot, fertig zum Essen!"
PRODUCT.BUCKET.NOUN,,Bucket,Eimer
PRODUCT.BUCKET.PLURAL,,Buckets,Eimer
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,"Ein kleiner Behälter, in dem Flüssigkeiten von Hand getragen werden."
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
PRODUCT.CAULDRON.PLURAL,,Cauldrons,Kessel
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Wird von einem Koch benutzt, um Suppe in der Küche vorzubereiten von wo sie dann in den Speisesaal gebracht wird."
PRODUCT.CHEST.NOUN,,Chest,Truhe
PRODUCT.CHEST.PLURAL,,Chests,Truhen
PRODUCT.CHEST.TOOLTIP,,Used to store coins for trading.,Dient zur Aufbewahrung von Münzen für den Handel.
PRODUCT.LEATHER.NOUN,,Leather,Leder
PRODUCT.LEATHER.PLURAL,,Leather,Leder
PRODUCT.LINEN.NOUN,,Linen,Leinen
PRODUCT.LINEN.PLURAL,,Linen,Leinen
PRODUCT.LINEN.TOOLTIP,,"A roll of fabric, primarily used for bedding.","Eine Stoffrolle, die hauptsächlich für Bettzeug verwendet wird."
PRODUCT.LIQUID.TANK,,Tank,Tank
PRODUCT.LIQUID.TANK.PLURAL,,Tanks,Tanks
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.","Dies ist ein Metallbehälter zur Aufbewahrung von Flüssigkeiten, der in der Schmiede hergestellt werden muss."
PRODUCT.MILLSTONE,,Millstone,Mühlstein
PRODUCT.MILLSTONE.PLURAL,,Millstones,Mühlsteine
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,"Zwei große Steinscheiben, die gegeneinander gerieben werden, um das Erntegut zu mahlen. Wird zum Errichten einer Getreidemühle gebraucht."
PRODUCT.RATION.DOUGH.NOUN,,Ration dough,Teigration
PRODUCT.RATION.DOUGH.PLURAL,,Ration dough,Teigrationen
PRODUCT.RATION.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.RATION.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"Eine Mischung von Zutaten, die mit einem Ofen zu Steinbrot gebacken werden kann."
PRODUCT.RATION.NOUN,,Ration,Ration
PRODUCT.RATION.PLURAL,,Rations,Rationen
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Diese werden eine lange Zeit halten, um deine Siedler zu ernähren, doch du wirst dringend andere Nahrungsquellen benötigen."
PRODUCT.ROPE.NOUN,,Rope,Seil
PRODUCT.ROPE.PLURAL,,Ropes,Seile
PRODUCT.STONE.GEAR.NOUN,,Gear,Zahnrad
PRODUCT.STONE.GEAR.PLURAL,,Gears,Zahnräder
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,Wird beim Bau von Mechanismen verwendet.
PRODUCT.STONE.PIPE.NOUN,,Pipe,Rohre
PRODUCT.STONE.PIPE.PLURAL,,Pipes,Rohre
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,"Wird verwendet, damit Flüssigkeiten zwischen den Platten unter der Erde fließen."
PRODUCT.WATERSKIN.NOUN,,Waterskin,Wasserschlauch
PRODUCT.WATERSKIN.PLURAL,,Waterskins,Wasserschläuche
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,Horizontalwelle
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,Horizontalwellen
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,"Wird verwendet, um Mechanismen zu verbinden, die Strom erzeugen und benötigen."
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,Vertikalwelle
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,Vertikalwellen
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,"Wird verwendet, um Mechanismen zu verbinden, die Strom erzeugen und benötigen."

PROFESSION.ARTISAN.FEMALE_NOUN,,Artisan,Handwerkerin
PROFESSION.ARTISAN.MALE_NOUN,,Artisan,Handwerker
PROFESSION.ARTISAN.PLURAL,,Artisans,Handwerker
PROFESSION.ARTISAN.VERB,,Fabricating,Fertigen
PROFESSION.BAKER.VERB,,Baking,Backt
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Schmiedin
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Schmied
PROFESSION.BLACKSMITH.PLURAL,,Blacksmiths,Schmiede
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Fertigt Gegenstände aus Metall und stellt auch Metall aus Erz her.
PROFESSION.BLACKSMITH.VERB,,Forging,Schmiedet
