KEY,NOTES,ENGLISH,JAPANESE
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,
GUI.KEY_BINDING.PAUSE,,Pause,
GUI.KEY_BINDING.QUICKLOAD,,Quickload,
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,
GUI.KEY_BINDING.ROTATE,,Rotate,
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,なし(休耕地)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,最終更新
GUI.LOAD_GAME.TABLE.DELETE,,Delete,削除
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,時間
GUI.LOAD_GAME.TABLE.PLAY,,Play,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,名前
GUI.LOAD_GAME.TABLE.VERSION,,Version,バージョン
GUI.LOAD_GAME.TITLE,,Load Game,ロード
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,クリップボードにコピー
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",現在のマップシード:
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,水平
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,垂直
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,
GUI.MILITARY.NEW_SQUAD,,New Squad,
GUI.MILITARY.ORDERS,,Orders,
GUI.MILITARY.ORDERS.ATTACK,,Attack,
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,
GUI.MILITARY.ORDERS.GUARD,,Guard,
GUI.MILITARY.ORDERS.RETREAT,,Retreat,
GUI.MILITARY.ORDERS.TRAIN,,Train,
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,
GUI.MILITARY.SET_FORMATION,,Set Formation,
GUI.MILITARY.SET_ORDERS,,Set Orders,
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,
GUI.MILITARY.TAB.SQUADS,,Military Squads,
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,
GUI.MINIMAP.LABEL,,Minimap,ミニマップ
GUI.MUSIC_VOLUME,,Music,
GUI.NEXT_LABEL,,Next,次
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,この建築物は、現在のバージョンでは回転できません
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,サウンドオプション
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,木によって入植者が隠れてしまうとき、木を透明にする
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",ゲームプレイオプション
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,カーソルが画面の端にあるときにスクロールする
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,ズーム中にカーソルに合わせてスクロールする
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,ボーダーレス
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,排他的フルスクリーン
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,ウインドウモード
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",グラフィックオプション
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,その他のオプション
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,
GUI.OPTIONS.RESET,,Reset,
GUI.OPTIONS.TAB.AUDIO,,Audio,音声
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,ゲームプレイ
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,グラフィック
GUI.OPTIONS.TAB.MISC,,Other,その他
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitchアカウント:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,コード
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Twitchアカウントと連携済
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,連携を解除
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Twitchアカウントと連携していません
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Twitchとの連携を有効にする
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Twitchとの接続にエラーが発生しました
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,サブスクライブ者に優先権を与える
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,送信
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitchとの連携機能
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,入植者の名前として視聴者名を使用
GUI.ORDERS.CHOP_WOOD,,Chop,伐採
GUI.ORDERS.CLEAR_GROUND,,Clear,整地
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,水路掘削
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,地面を掘削し、水路を作ります。
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,消火
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,燃えている火を消します。
GUI.ORDERS.HARVEST_PLANTS,,Harvest,収穫
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,狩猟
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,動物を選ぶと、入植者はそれを狩ろうとします。
GUI.ORDERS.MINE,,Mine,採掘
GUI.ORDERS_LABEL,,Orders,命令
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,橋は川の両側を覆い、少なくとも3x3タイルのサイズでなければなりません
GUI.POWER_LABEL,,Power & Water,
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},
GUI.PRIORITY_LABEL,,Priority,優先度
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,
GUI.REMOVE_LABEL,,Remove,除去
GUI.REMOVE_TILES,,Remove tiles,タイル縮小
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet,
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}},
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search,
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By,
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,資源
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},利用可能:{{count}}
GUI.ROOFING.ADD,,Add,追加
GUI.ROOMS_LABEL,,Rooms,
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,(R) を押すと建築物を回転させます
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,セーブ中…
GUI.SELECT_WEAPON.LABEL,,Select weapon,
GUI.SETTINGS.LABEL,,Settings,設定
GUI.SETTLER_MANAGEMENT.CHOOSE_ARMOUR,,Choose Armour,
GUI.SETTLER_MANAGEMENT.CHOOSE_SHIELD,,Choose Shield,
GUI.SETTLER_MANAGEMENT.CHOOSE_WEAPON,,Choose Weapon,
GUI.SETTLER_MANAGEMENT.HAPPINESS,,Happiness {{happinessValue}},
GUI.SETTLER_MANAGEMENT.IMMIGRATION,,Immigration,
GUI.SETTLER_MANAGEMENT.MAIN_HAND.STATUS,,The main hand cannot be used. {{status}},
GUI.SETTLER_MANAGEMENT.OFF_HAND.STATUS,,The off hand cannot be used. {{status}},
GUI.SETTLER_MANAGEMENT.OFF_HAND.TWO_HANDED_WEAPON,,The {{weaponName}} requires two hands to use,
GUI.SETTLER_MANAGEMENT.POPULATION_STATISTICS,,Civilian Population {{civilianCount}} (Civilian Beds {{civilianBedCount}}) - Military Population {{militaryCount}} (Military Beds {{militaryBedCount}}) - Total Population {{populationCount}},
GUI.SETTLER_MANAGEMENT.PROFESSION.CIVILIAN,,Civilian,
GUI.SETTLER_MANAGEMENT.PROFESSION.MILITARY,,Military,
GUI.SETTLER_MANAGEMENT.PROFESSION.VILLAGER,,Villager,
GUI.SETTLER_MANAGEMENT.SEARCH,,Search,
GUI.SETTLER_MANAGEMENT.SORT.HAPPINESS,,Happiness,
GUI.SETTLER_MANAGEMENT.SORT.MILITARY_CIVILIAN,,Military/Civilian,
GUI.SETTLER_MANAGEMENT.SORT.NAME,,Name,
GUI.SETTLER_MANAGEMENT.SORT.SKILL_LEVEL,,Skill Level,
GUI.SETTLER_MANAGEMENT.SORT_BY,,Sort By,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,入植者
GUI.SOUND_EFFECT_VOLUME,,Sound Effects,
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI Scale,UIスケール:
GUI.VIEW_MODE.DEFAULT,,Default view,
GUI.VIEW_MODE.JOB_PRIORITY,,Priority view,
GUI.VIEW_MODE.MECHANISMS,,Power view,
GUI.VIEW_MODE.PIPING,,Piping view,
GUI.VIEW_MODE.ROOFING_INFO,,Roof view,
GUI.VIEW_ROADMAP,,View development roadmap,開発ロードマップを見る
GUI.YEAR_LABEL,,Year {{year}},

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,酔いが醒めている
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,おいしい食事を食べた
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,大量に出血した
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,死体を運んだ
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,雨に濡れた
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,気持ちよく酔った
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,川の水を飲んだ
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,飢えている
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,脱水症状に陥った
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,かんしゃくを起こした
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,新しい入植地に希望を抱いている
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,熱傷を負った
HAPPINESS_MODIFIER.POISONED,,Poisoned,毒を受けた
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,死体を見た
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,雨の中で眠った
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,雪の中で眠った
HAPPINESS_MODIFIER.SLEPT_IN_BED,,Slept in a comfortable bed,
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,荒れた地面の上で眠った
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,星の下で眠った
HAPPINESS_MODIFIER.TITLE,,Happiness:,幸福度:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,とても空腹
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,とても渇いている
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,非常に疲れている
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,屋内で作業している
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,雨にうたれながら作業している

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}}を{{targetDescription}}に割り当て済み

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels.",このビューを使って水を通すための配管や灌漑水路を設置することができます。
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",これらは地面の下に設置されるため、入植者が各タイルに隣接できるようにしなければなりません。
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.,これに関係する建築物は、水を汲み上げ、あるいは排出する役割に合わせて青または緑のアイコンが表示されます。
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,このビューは風車などの動力源を{{PRODUCT.STONE.GEAR.PLURAL}}やシャフトなどで動力を必要とする建設物と接続するために使用します。
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",これらは地面の下に設置されるため、入植者が各タイルに隣接できるようにしなければなりません。
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.,動力源となる建築物あるいは動力を必要とする建築物は、それぞれの役割に合わせて赤または緑のアイコンで表示されます。
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).",このビューでは、屋外にあり屋根を持たないタイル（水色）あるいは屋根のあるタイル（濃い茶色）を確認することができます。
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.",{{GUI.ROOFING.ADD}}と{{GUI.CANCEL_LABEL}}を使って屋根の建築を指示したり{{GUI.DECONSTRUCT_LABEL}}を使って屋根を削除することができます。
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,屋根は壁または{{FURNITURE.PILLAR}}から3タイル以内にしか建設できません。
HINT.BUTTON.BEGIN_TUTORIAL,,Begin Tutorial,
HINT.BUTTON.DISABLE_ALL,,Disable all hints,ヒントをすべて非表示
HINT.BUTTON.DISMISS,,Dismiss,非表示
HINT.BUTTON.HINTS_ONLY,,Hints only,ヒントのみ
HINT.BUTTON.NEXT,,Next,次へ
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",このメニューでは仕事の優先順位を変更することができます。優先順位の高い仕事は低い仕事よりも先に入植者に割り当てられます。
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",「優先度」メニューを開いている間は仕事を指示済みのタイル、もしくは仕事の対象となる倉庫や建築物に優先度アイコンが表示されます。
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,入植地に利用可能な{{TOOL.AXE}}がありません。そのため、木の伐採ができなくなっています。
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",斧は{{FURNITURE.FORGE}}で作ることができます。しかしもし稼働していなければ、{{FURNITURE.WOODCUTTERS_BENCH}}を解体したほうがよいかもしれません。
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,入植地に利用可能な{{TOOL.CHISEL}}がありません。そのため、石材を使った建築物の構築ができなくなっています。
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",より多くのノミを作るには{{FURNITURE.FORGE}}が必要です。もし稼働していない場合は、{{FURNITURE.STONEMASON_WORKBENCH}}を解体する必要があるかもしれません。
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,入植地に利用可能な{{TOOL.PLANE}}がありません。そのため、木製の建築物が作れなくなっています。
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,かんなは{{FURNITURE.CARPENTRY_WORKBENCH}}で{{RESOURCE.PLANKS.NOUN}}から製作できます。
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,入植地に利用可能な{{TOOL.SAW}}がありません。そのため、{{FURNITURE.WOODCUTTERS_BENCH}}や{{FURNITURE.CARPENTRY_WORKBENCH}}が作れなくなっています。
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",より多くのノコギリを得るには{{FURNITURE.FORGE}}で製作する必要があります。もし稼働していない場合、{{FURNITURE.WOODCUTTERS_BENCH}}や{{FURNITURE.CARPENTRY_WORKBENCH}}を解体する必要があるかもしれません。
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.,このビューでは、入植者がインベントリに入れる武器の種類を選択します。
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.,{{PROFESSION.HUNTER}}の入植者には、{{WEAPON.BOW}}や{{WEAPON.CROSSBOW}}などの遠隔武器を割り当てることを強くお勧めします。
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.,所持していない武器は赤で表示されます。
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",「チュートリアル」をクリックすることで、基本的な操作方法を説明します。「ヒントのみ」をクリックすると、チュートリアルをスキップしてプレイに必要な情報を提供します。「ヒントをすべて非表示」をクリックすると、これらのメッセージを表示しなくなります。
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with open space near the river, and clicking the '{{GUI.EMBARK.START}}' button.",マップ上の十分なスペースのある場所を選び、{{GUI.EMBARK.START}}ボタンをクリックするとゲームが開始されます。

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}",{{name}}、 {{madness.adjective}} {{race.noun}}
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{skillLevelDescription.adjective}} {{profession.noun}}",{{name}}、{{race.adjective}} {{profession.noun}}

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,生地
INGREDIENT.FLOUR,,Flour,穀粉
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,一人分
INGREDIENT.LOAF.PLURAL,,Loaves,ひとかたまり
INGREDIENT.MALT.SACK.NOUN,,Malt,麦芽
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,ビールを醸造するためには、まずこれを粉砕する必要があります。
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,砕いた麦芽
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,{{FURNITURE.MASH_TUN}}で水と混合することで{{LIQUID.WORT}}になります。
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,キノコの胞子
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,キノコの胞子
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",菌糸とも呼ばれる、{{ROOMS.MUSHROOM_FARM}}でキノコを育てるための種のようなものです。
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,種
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,種
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,{{ROOMS.FARM}}に作物を植えるためには、その植物の種が必要です。また{{STOCKPILE.GRANARY}}の備蓄としても必要になります。
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),野菜(箱入り)
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),野菜(箱入り)
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),野菜(袋入り)
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),野菜(袋入り)

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,インベントリ:

ITEM.AVAILABILITY.DESCRIPTION,E.g. “2 potatoes”,{{quantity}} {{materialType.adjective}} {{itemType.noun_or_plural}} available,
ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}} {{quality.adjective}} {{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}} {{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}} {{materialType.noun_or_plural}},{{quantity_if_multiple}} {{materialType.noun_or_plural}}
ITEM.NONE_SELECTED,,None selected,
ITEM.QUALITY.PREFIX.AWFUL.ADJECTIVE,,Awful,
