KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}}可用
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}}可用
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,全屏
GUI.GRAPHICS.RESOLUTION,,Resolution,分辨率
GUI.INVASION_LABEL,,Invasion,入侵
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,快速平移
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,快游戏速度
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,更快游戏速度
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,最快游戏速度
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,普通游戏速度
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,向下平移
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,向左平移
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,向右平移
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,向上平移
GUI.KEY_BINDING.PAUSE,,Pause,暂停
GUI.KEY_BINDING.QUICKLOAD,,Quickload,快速加载
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,快速保存
GUI.KEY_BINDING.ROTATE,,Rotate,旋转
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,放大
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,缩小
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,无（休耕）
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,上次修改
GUI.LOAD_GAME.TABLE.DELETE,,Delete,删除
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,世界时间
GUI.LOAD_GAME.TABLE.PLAY,,Play,开始游戏
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,名字
GUI.LOAD_GAME.TABLE.VERSION,,Version,版本
GUI.LOAD_GAME.TITLE,,Load Game,加载游戏
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,复制到剪贴板
GUI.MAP_SEED_DISPLAY,,"Current map seed: ","当前的地图种子： "
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,水平
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,垂直
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,命名新分队
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},为{{squadName}}选择队徽
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,重命名分队
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,分配至新分队
GUI.MILITARY.NEW_SQUAD,,New Squad,新分队
GUI.MILITARY.ORDERS,,Orders,命令
GUI.MILITARY.ORDERS.ATTACK,,Attack,进攻
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,取消进攻
GUI.MILITARY.ORDERS.GUARD,,Guard,防御
GUI.MILITARY.ORDERS.RETREAT,,Retreat,撤退
GUI.MILITARY.ORDERS.TRAIN,,Train,训练
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,移除分队
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,确定移除该分队？
GUI.MILITARY.SET_FORMATION,,Set Formation,设置阵型
GUI.MILITARY.SET_ORDERS,,Set Orders,下达命令
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,矮人军队
GUI.MILITARY.TAB.SQUADS,,Military Squads,军事小队
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,训练有素的平民
GUI.MINIMAP.LABEL,,Minimap,小地图
GUI.MUSIC_VOLUME,,Music,音乐
GUI.NEXT_LABEL,,Next,下一个
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,此家具在该游戏版本中无法旋转
GUI.OK_LABEL,,Ok,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,声音设置
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,让遮挡殖民者的树木透明化
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","游戏设置 "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,当光标在屏幕边缘时滚动
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,缩放时是否基于光标所在位置
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,无边框
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,独占全屏
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,窗口化
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","图像设置 "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,天气效果
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,显示天气效果，比如家具上的积雪
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,按键绑定
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,选择参与崩溃报告
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,其他
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,从教程开始游戏
GUI.OPTIONS.RESET,,Reset,重置
GUI.OPTIONS.TAB.AUDIO,,Audio,声音
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,游戏
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,图像
GUI.OPTIONS.TAB.MISC,,Other,其他
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch账户：
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,代码
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,已连接Twitch账户
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,断开连接
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Twitch账户断开连接
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,开启Twitch整合
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,连接Twitch时发生错误
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,关联Twitch账户
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,优先订阅者
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,提交
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitch整合
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,将观众的名字为殖民者取名
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}}观众
GUI.ORDERS.CHOP_WOOD,,Chop,伐木
GUI.ORDERS.CLEAR_GROUND,,Clear,清理
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,灌溉
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,使用该指令能在地面挖掘通渠。
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,灭火
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,使用该指令能扑灭燃烧的火焰。
GUI.ORDERS.HARVEST_PLANTS,,Harvest,收割
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,狩猎
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,使用该指令选择狩猎的动物。
GUI.ORDERS.MINE,,Mine,挖矿
GUI.ORDERS_LABEL,,Orders,指令
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,桥必须覆盖河流的两岸且规格不低于3x3
GUI.POWER_LABEL,,Power & Water,动力&水
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},
GUI.PRIORITY_LABEL,,Priority,优先级
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,选择运出的物品
GUI.PRODUCTION_EXPORT.LIMIT.REACHED,,Production halted - limit is set to {{quantity}},
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,选择运进的物品
GUI.REMOVE_LABEL,,Remove,移除
GUI.REMOVE_TILES,,Remove tiles,移除区格
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},所有{{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,可用
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}}可用
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,{{item}}已清空：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,{{item}}已清空：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,{{item}}在等待运送
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}}在等待运送
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,{{item}}已被装备：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,{{item}}已被装备：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}}被分配给
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,{{item}}被分配给
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}}在运送中：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,{{item}}在运送中：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,{{item}}存放于：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,{{item}}存放于：
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,{{item}}着火了
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,{{item}}着火了
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,{{item}}已部署，等待修建
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction,{{item}}已部署，等待修建
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet,{{item}}在进口托架上
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet,{{item}}在进口托架上
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT,,{{item}} is being moved to an export palle,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT.PLURAL,,{{item}} are being moved to an export pallet,
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}},{{quantity}} {{item}}
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search,搜索
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By,排序
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,资源
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total,总共
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},可用：{{count}}
GUI.ROOFING.ADD,,Add,添加
GUI.ROOMS_LABEL,,Rooms,房间
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,按R旋转家具
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,正在保存…
GUI.SELECT_WEAPON.LABEL,,Select weapon,选择武器
GUI.SETTINGS.LABEL,,Settings,设置
GUI.SETTLER_MANAGEMENT.CHOOSE_ARMOUR,,Choose Armour,选择盔甲
GUI.SETTLER_MANAGEMENT.CHOOSE_SHIELD,,Choose Shield,选择盾牌
GUI.SETTLER_MANAGEMENT.CHOOSE_WEAPON,,Choose Weapon,选择武器
GUI.SETTLER_MANAGEMENT.HAPPINESS,,Happiness {{happinessValue}},{{happinessValue}}幸福度
GUI.SETTLER_MANAGEMENT.IMMIGRATION,,Immigration,移民
GUI.SETTLER_MANAGEMENT.MAIN_HAND.STATUS,,The main hand cannot be used. {{status}},无法使用主手。{{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.STATUS,,The off hand cannot be used. {{status}},无法使用副手。{{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.TWO_HANDED_WEAPON,,The {{weaponName}} requires two hands to use,{{weaponName}}需要双手使用
GUI.SETTLER_MANAGEMENT.POPULATION_STATISTICS,,Civilian Population {{civilianCount}} (Civilian Beds {{civilianBedCount}}) - Military Population {{militaryCount}} (Military Beds {{militaryBedCount}}) - Total Population {{populationCount}},平民人口 {{civilianCount}} (平民床铺 {{civilianBedCount}}) - 军人人口 {{militaryCount}} (军人床铺 {{militaryBedCount}}) - 总人数 {{populationCount}}
GUI.SETTLER_MANAGEMENT.PROFESSION.CIVILIAN,,Civilian,平民
GUI.SETTLER_MANAGEMENT.PROFESSION.MILITARY,,Military,军人
GUI.SETTLER_MANAGEMENT.PROFESSION.VILLAGER,,Hauler,村民
GUI.SETTLER_MANAGEMENT.SEARCH,,Search,搜索
GUI.SETTLER_MANAGEMENT.SORT.HAPPINESS,,Happiness,幸福度
GUI.SETTLER_MANAGEMENT.SORT.MILITARY_CIVILIAN,,Military/Civilian,军人/平民
GUI.SETTLER_MANAGEMENT.SORT.NAME,,Name,名字
GUI.SETTLER_MANAGEMENT.SORT.SKILL_LEVEL,,Skill Level,技能等级
GUI.SETTLER_MANAGEMENT.SORT_BY,,Sort By,排序
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,殖民者
GUI.SOUND_EFFECT_VOLUME,,Sound Effects,声音效果
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI Scale,UI缩放：
GUI.VIEW_MODE.DEFAULT,,Default view,默认视图
GUI.VIEW_MODE.JOB_PRIORITY,,Priority view,优先级视图
GUI.VIEW_MODE.MECHANISMS,,Power view,动力视图
GUI.VIEW_MODE.PIPING,,Piping view,管道视图
GUI.VIEW_MODE.ROOFING_INFO,,Roof view,屋顶视图
GUI.VIEW_ROADMAP,,View development roadmap,查看开发路线图
GUI.YEAR_LABEL,,Year {{year}},第{{year}}年

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,戒酒
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,享用了美味的食物
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely,大量出血
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,搬运尸体
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,淋了雨
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,喝醉了
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,饮用河水
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,肚子饿了
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,严重脱水
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum,在乱发脾气
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,对新的殖民地很乐观
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,严重烧伤
HAPPINESS_MODIFIER.POISONED,,Poisoned,中毒
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,看到了死尸
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,在雨中睡觉
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,在雪中睡觉
HAPPINESS_MODIFIER.SLEPT_IN_BED,,Slept in a comfortable bed,在舒适的床上睡觉
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,在地上睡觉
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,以天为被
HAPPINESS_MODIFIER.TITLE,,Happiness:,幸福度：
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,饥饿
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,口渴
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,极度疲惫
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,在室内工作
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,在雨中工作

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}}分配给{{targetDescription}}

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels.",你可以使用该视图在出入口之间铺设管道，灌溉渠同样如此。
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",它们铺设在地底，所以务必保证殖民者能从侧边使用每个区格。
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.,拥有液体输入或输出的家具会以蓝色或绿色的图标标明。
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,使用该视图可以将需要动能的设施与用{{PRODUCT.STONE.GEAR.PLURAL}}和连接杆建造的机械装置相连。
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",它们铺设在地底，所以务必保证殖民者能从侧边使用每个区格。
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.,需要或生产动能的建筑物会用红色或绿色的图标标明。
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).",该视图能让你查看没有屋顶（浅蓝色）以及拥有屋顶（深褐色）的区格。
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.",你可以使用{{GUI.ROOFING.ADD}}和{{GUI.CANCEL_LABEL}}功能将屋顶加入建造队列，还可以用{{GUI.DECONSTRUCT_LABEL}}拆除现有的屋顶区格。
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,屋顶只能在墙壁或{{FURNITURE.PILLAR}}的三格范围内建造。
HINT.BUTTON.BEGIN_TUTORIAL,,Begin Tutorial,
HINT.BUTTON.DISABLE_ALL,,Disable all hints,禁用所有提示
HINT.BUTTON.DISMISS,,Dismiss,遣散
HINT.BUTTON.HINTS_ONLY,,Hints only,仅限提示。
HINT.BUTTON.NEXT,,Next,下一个
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",你可以使用此菜单更改工作和差事的优先级，分配的顺序按优先级处理。
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",打开优先级菜单的时候，游戏中会显示图标，代表需要完成的任务或工作，或者以后会需要工作的房间、家具。
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,你的殖民地没有可以使用的{{TOOL.AXE}}了。殖民者们将无法砍伐树木。
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",使用{{FURNITURE.FORGE}}可以锻造斧头。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.WOODCUTTERS_BENCH}}。
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,你的殖民地没有可以使用的{{TOOL.CHISEL}}了。它是建造石材家具的必备工具。
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",使用{{FURNITURE.FORGE}}可以锻造凿子。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.STONEMASON_WORKBENCH}}。
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,你的殖民地没有可以使用的{{TOOL.PLANE}}了。它是建造木材家具的必备工具。
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,使用{{RESOURCE.PLANKS.NOUN}}即可在{{FURNITURE.CARPENTRY_WORKBENCH}}制造刨子。
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,你的殖民地没有可以使用的{{TOOL.SAW}}了。它是建造{{FURNITURE.WOODCUTTERS_BENCH}}或{{FURNITURE.CARPENTRY_WORKBENCH}}的必备工具。
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",使用{{FURNITURE.FORGE}}可以制造手锯。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.WOODCUTTERS_BENCH}}或{{FURNITURE.CARPENTRY_WORKBENCH}}。
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.,使用此界面可以为殖民者选择存放在背包的武器，以备不时之需。
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.,强烈建议将{{WEAPON.BOW}}或{{WEAPON.CROSSBOW}}这类远程武器分配给{{PROFESSION.HUNTER}}。
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.,尚未拥有的武器显示为红色。
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",点击“教程”熟悉游戏的基础知识，“仅限提示”会跳过教程，但在游戏中会提供各类信息，“禁用所有提示”会不再显示这类信息。
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with open space near the river, and clicking the '{{GUI.EMBARK.START}}' button.",在地图上点击任意地点，然后点击'{{GUI.EMBARK.START}}'即可开始游戏。

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{skillLevelDescription.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,面团
INGREDIENT.FLOUR,,Flour,面粉
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,（条）
INGREDIENT.LOAF.PLURAL,,Loaves,（条）
