KEY,NOTES,ENGLISH
GUI.SETTLER_MANAGEMENT.MAIN_HAND.STATUS,,The main hand cannot be used. {{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.STATUS,,The off hand cannot be used. {{status}}
GUI.SETTLER_MANAGEMENT.OFF_HAND.TWO_HANDED_WEAPON,,The {{weaponName}} requires two hands to use
GUI.SETTLER_MANAGEMENT.POPULATION_STATISTICS,,Civilian Population {{civilianCount}} (Civilian Beds {{civilianBedCount}}) - Military Population {{militaryCount}} (Military Beds {{militaryBedCount}}) - Total Population {{populationCount}}
GUI.SETTLER_MANAGEMENT.PROFESSION.CIVILIAN,,Civilian
GUI.SETTLER_MANAGEMENT.PROFESSION.MILITARY,,Military
GUI.SETTLER_MANAGEMENT.PROFESSION.VILLAGER,,Villager
GUI.SETTLER_MANAGEMENT.SEARCH,,Search
GUI.SETTLER_MANAGEMENT.SORT.HAPPINESS,,Happiness
GUI.SETTLER_MANAGEMENT.SORT.MILITARY_CIVILIAN,,Military/Civilian
GUI.SETTLER_MANAGEMENT.SORT.NAME,,Name
GUI.SETTLER_MANAGEMENT.SORT.SKILL_LEVEL,,Skill Level
GUI.SETTLER_MANAGEMENT.SORT_BY,,Sort By
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers
GUI.SOUND_EFFECT_VOLUME,,Sound Effects
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI Scale
GUI.VIEW_MODE.DEFAULT,,Default view
GUI.VIEW_MODE.JOB_PRIORITY,,Priority view
GUI.VIEW_MODE.MECHANISMS,,Power view
GUI.VIEW_MODE.PIPING,,Piping view
GUI.VIEW_MODE.ROOFING_INFO,,Roof view
GUI.VIEW_ROADMAP,,View development roadmap
GUI.YEAR_LABEL,,Year {{year}}

HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal
HAPPINESS_MODIFIER.BLEEDING,,Bleeding profusely
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated
HAPPINESS_MODIFIER.HAD_A_TANTRUM,,Had a tantrum
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned
HAPPINESS_MODIFIER.POISONED,,Poisoned
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow
HAPPINESS_MODIFIER.SLEPT_IN_BED,,Slept in a comfortable bed
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars
HAPPINESS_MODIFIER.TITLE,,Happiness:
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}}

HINT.BUILD_PIPES.1,,"You can use this view to lay pipes between liquid inputs and outputs, as well as irrigation channels."
HINT.BUILD_PIPES.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side."
HINT.BUILD_PIPES.3,,Furniture with a liquid input or output display a blue or green icon indicating if they are an input or output to the network.
HINT.BUILD_POWER.1,,Use this view to link constructions that require power with mechanisms built from {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side."
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown)."
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles."
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.
HINT.BUTTON.BEGIN_TUTORIAL,,Begin Tutorial
HINT.BUTTON.DISABLE_ALL,,Disable all hints
HINT.BUTTON.DISMISS,,Dismiss
HINT.BUTTON.HINTS_ONLY,,Hints only
HINT.BUTTON.NEXT,,Next
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs."
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future."
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}."
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}."
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}."
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages."
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with open space near the river, and clicking the '{{GUI.EMBARK.START}}' button."

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{skillLevelDescription.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough
INGREDIENT.FLOUR,,Flour
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf
INGREDIENT.LOAF.PLURAL,,Loaves
INGREDIENT.MALT.SACK.NOUN,,Malt
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate)
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate)
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack)
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack)

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:

ITEM.AVAILABILITY.DESCRIPTION,E.g. “2 potatoes”,{{quantity}} {{materialType.adjective}} {{itemType.noun_or_plural}} available
ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}} {{quality.adjective}} {{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}} {{materialType.noun_or_plural}}
ITEM.NONE_SELECTED,,None selected
ITEM.QUALITY.PREFIX.AWFUL.ADJECTIVE,,Awful
ITEM.QUALITY.PREFIX.AWFUL.TOOLTIP,,"This item is terribly made, difficult to use, and would not be worth very much"
ITEM.QUALITY.PREFIX.MASTERWORK.ADJECTIVE,,Masterwork
ITEM.QUALITY.PREFIX.MASTERWORK.TOOLTIP,,"This item has clearly been made by a master craftsman, it is ideal in every way"
ITEM.QUALITY.PREFIX.POOR.ADJECTIVE,,Poor
ITEM.QUALITY.PREFIX.POOR.TOOLTIP,,This item is poorly made and will slightly impede anyone using it
ITEM.QUALITY.PREFIX.SUPERIOR.ADJECTIVE,,Superior
ITEM.QUALITY.PREFIX.SUPERIOR.TOOLTIP,,"This item has been crafted with great skill, making it more valuable and easier to use"

ITEM_GROUP.FUEL.PLURAL,,Fuel
ITEM_GROUP.PRODUCT.PLURAL,,Products
ITEM_GROUP.RESOURCE.PLURAL,,Resources
ITEM_GROUP.TOOL.PLURAL,,Tools

LANGUAGE.LABEL,,Language

LIQUID.BEER.NOUN,,Beer
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day."
LIQUID.HOPPED_WORT.NOUN,,Hopped wort
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.
LIQUID.WATER.NOUN,,Water
LIQUID.WORT.NOUN,,Wort
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented."

MADNESS.BROKEN.ADJECTIVE,,Broken
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! "

MATERIAL,Used for specifying which material something is made out of,Material

MATERIAL_TYPE,,Type
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any
MATERIAL_TYPE.CLOTH.ADJECTIVE,," "
MATERIAL_TYPE.CLOTH.NOUN,," "
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen
MATERIAL_TYPE.EARTH.NOUN,,Earth
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic
MATERIAL_TYPE.METAL.NOUN,,Metal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other
MATERIAL_TYPE.ROPE.ADJECTIVE,," "
MATERIAL_TYPE.ROPE.NOUN,," "
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed
MATERIAL_TYPE.SKIN.ADJECTIVE,," "
MATERIAL_TYPE.SKIN.NOUN,," "
MATERIAL_TYPE.STONE.ADJECTIVE,,
MATERIAL_TYPE.STONE.NOUN,,Stone
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden
MATERIAL_TYPE.WOOD.NOUN,,Wood

MEAT.BOAR_MEAT,,Boar
MEAT.CARP_MEAT.NOUN,,Carp
MEAT.CARP_MEAT.PLURAL,,Carp
MEAT.DEER_MEAT,,Deer
MEAT.DWARF_FLESH,,Dwarf flesh
MEAT.ELEPHANT_MEAT,,Elephant
MEAT.FOX_MEAT,,Fox
MEAT.PERCH_MEAT.NOUN,,Perch
MEAT.PERCH_MEAT.PLURAL,,Perch
MEAT.PIKE_MEAT.NOUN,,Pike
MEAT.PIKE_MEAT.PLURAL,,Pike

MECHANISM.FURNITURE.CONSUMING_POWER,,Working - consuming {{power}} power
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER,,Working very slowly - not enough power
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.
MECHANISM.FURNITURE.PRODUCING_POWER,,Working - producing {{power}} power
MECHANISM.FURNITURE.REQUIRES_OUTSIDE_PLACEMENT,,This must be outside to function correctly
MECHANISM.FURNITURE.REQUIRES_POWER,,Disabled - not enough power
MECHANISM.FURNITURE.REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.
MECHANISM.FURNITURE.REQUIRES_POWER_GRID,,Disabled - connect to an underground power connection
MECHANISM.FURNITURE.REQUIRES_POWER_GRID.TOOLTIP,,This furniture requires an underground power connection - see the {{GUI.BUILD.POWER}} option in the {{GUI.BUILD_LABEL}} menu.
MECHANISM.STONE.GEAR.NOUN,,Gear assembly
MECHANISM.STONE.GEAR.TOOLTIP,,This contraption links up mechanical power in all 4 directions.
MECHANISM.WOODEN.SHAFT.NOUN,,Shaft
MECHANISM.WOODEN.SHAFT.TOOLTIP,,A wooden shaft links mechanical power in 2 directions.

MENU.CONTINUE_GAME,,Continue
MENU.CREDITS,,Credits
MENU.JOIN_DISCORD,,Join Discord
MENU.LINK_TWITCH_ACCOUNT,,Link Twitch
MENU.LOAD_GAME,,Load
MENU.MODS,,Mods
MENU.NEW_GAME,,New Game
MENU.OPTIONS,,Options
MENU.QUIT,,Quit
MENU.SAVE_AND_QUIT,,Save & Quit
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen

METAL.BRONZE.ADJECTIVE,,Bronze
METAL.BRONZE.NOUN,,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented)
METAL.COPPER.ADJECTIVE,,Copper
METAL.COPPER.NOUN,,Copper
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons."
METAL.COPPER_PATINA.ADJECTIVE,,Copper
METAL.COPPER_PATINA.NOUN,,Copper (Patina)
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden
METAL.GOLD.NOUN,,Gold
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves."
METAL.IRON.ADJECTIVE,,Iron
METAL.IRON.NOUN,,Iron
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum
METAL.PLATINUM.NOUN,,Platinum
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron
METAL.RUSTED_IRON.NOUN,,Rust
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!
METAL.SILVER.ADJECTIVE,,Silver
METAL.SILVER.NOUN,,Silver
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. "
METAL.STEEL.ADJECTIVE,,Steel
METAL.STEEL.NOUN,,Steel
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel."
METAL.TIN.ADJECTIVE,,Tin
METAL.TIN.NOUN,,Tin
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented)

MILITARY.FORMATION.COLUMN,,Column - Narrow
MILITARY.FORMATION.COLUMN_DOUBLE,,Column - Wide
MILITARY.FORMATION.COLUMN_SINGLE,,Column
MILITARY.FORMATION.GRID,,Grid - Narrow
MILITARY.FORMATION.GRID_DOUBLE,,Grid - Wide
MILITARY.FORMATION.GRID_SINGLE,,Grid
MILITARY.FORMATION.LINE,,Line - Narrow
MILITARY.FORMATION.LINE_DOUBLE,,Line - Wide
MILITARY.FORMATION.LINE_SINGLE,,Line
MILITARY.SQUAD.DEFAULT_NAME,,Squad
MILITARY.SQUAD.ORDER_DESCRIPTION.COMBAT,,In Combat
MILITARY.SQUAD.ORDER_DESCRIPTION.GUARDING,,Guarding
MILITARY.SQUAD.ORDER_DESCRIPTION.OFF_DUTY,,Off Duty
MILITARY.SQUAD.ORDER_DESCRIPTION.RETREATING,,Retreating
MILITARY.SQUAD.ORDER_DESCRIPTION.TRAINING,,Training
MILITARY.SQUAD.SHIFT.DAYTIME,Used to assign a squad to active duty during the daytime,Day shift
MILITARY.SQUAD.SHIFT.NIGHTTIME,Used to assign a squad to active duty during the nighttime,Night shift

MODS.APPLY,,Apply
MODS.BUTTON.BROWSE,,Browse Mods
MODS.BUTTON.REFRESH,,Refresh
MODS.COMPATIBILITY.COMPATIBLE,,Yes
MODS.COMPATIBILITY.INCOMPATIBLE,,No
MODS.COMPATIBILITY.UNKNOWN,,Unknown
MODS.EMAIL_LOGIN.CHECK_EMAIL,,"Check your email for an authentication code. If you do not receive an email, please check your spam folder."
MODS.EMAIL_LOGIN.CODE_LABEL,,6 Digit Code:
MODS.EMAIL_LOGIN.EMAIL,,Enter your email address to receive an authentication code.
MODS.EMAIL_LOGIN.EMAIL_LABEL,,Email:
MODS.EMAIL_LOGIN.ERROR,,"An error occurred while communicating to the server. Either the server is down, the email address is invalid, or you are not connected to the internet."
MODS.EMAIL_LOGIN.INFO,,"To download and update mods, you must connect to the Mod.io platform."
MODS.EMAIL_LOGIN.REQUEST_CODE,,Request Code
MODS.EMAIL_LOGIN.SUBMIT_CODE,,Submit
MODS.INCOMPATIBLE_VERSION_DESCRIPTION,,The mod's game version ({{modGameVersion}}) is incompatible with the current game version ({{gameVersion}})
MODS.MISSING_HOMEPAGE_URL,,The author(s) of this mod have not included a website to visit
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:"
MODS.SYNC_IN_PROGRESS,,Please wait while the mod list is being updated. This may take a few minutes.
MODS.TABLE.COMPATIBILITY,,Compatible
MODS.TABLE.ENABLED,,Enable
MODS.TABLE.NAME,,Name
MODS.TABLE.ORDERING,,Re-order
MODS.TABLE.VERSION,,Version

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}}

NEEDS.DRINK,,Drink
NEEDS.FOOD,,Food
NEEDS.SLEEP,,Sleep

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}."
NOTIFICATION.DEATH.KILLED_BY_DESCRIPTION,,Killed by {{killer}}
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler Death
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish Depopulated
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.
NOTIFICATION.GAME_OVER.TITLE,,Game Over
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration
NOTIFICATION.INVASION.DESCRIPTION,,A raiding party of orcs has arrived. Prepare yourselves! They will attack after preparing for a while.
NOTIFICATION.INVASION.TITLE,,You are being invaded!
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining Collapse
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted Away
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof Collapsed
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental Break
NOTIFICATION.SETTLER_STUCK.DESCRIPTION,,"A settler has become stuck, unable to find a drink. Act quickly!"
NOTIFICATION.SETTLER_STUCK.TITLE,,Trapped!
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!
NOTIFICATION.TRADER_ARRIVED.DESCRIPTION,,They are heading to your Trading Depot to buy and sell goods.
NOTIFICATION.TRADER_ARRIVED.TITLE,,Traders have arrived!
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.DESCRIPTION,,You must construct a Trading Depot to buy and sell goods.
NOTIFICATION.TRADER_ARRIVED_NO_DEPOT.TITLE,,Traders have arrived!

ORE.BAUXITE.ADJECTIVE,,Bauxite
ORE.BAUXITE.NOUN,,Bauxite
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite
ORE.CASSITERITE.NOUN,,Cassiterite
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal
ORE.CHARCOAL.NOUN,,Charcoal
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke
ORE.COKE.NOUN,,Coke
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena
ORE.GALENA.NOUN,,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite
ORE.HEMATITE.NOUN,,Hematite
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite
ORE.ILMENITE.NOUN,,Ilmenite
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered."
ORE.MALACHITE.ADJECTIVE,,Malachite
ORE.MALACHITE.NOUN,,Malachite
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper
ORE.NATIVE_COPPER.NOUN,,Native copper
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold
ORE.NATIVE_GOLD.NOUN,,Native gold
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum
ORE.NATIVE_PLATINUM.NOUN,,Native platinum
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver
ORE.NATIVE_SILVER.NOUN,,Native silver
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.
ORE.POLLUCITE.ADJECTIVE,,Pollucite
ORE.POLLUCITE.NOUN,,Pollucite
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production."
ORE.PYRITE.ADJECTIVE,,Fool's gold
ORE.PYRITE.NOUN,,Fool's gold
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck."
ORE.THORIUM.ADJECTIVE,,Thorium
ORE.THORIUM.NOUN,,Thorium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite
ORE.WOLFRAMITE.NOUN,,Wolframite
